title,price,link
"<div class=""productItem__title"" itemprop=""name"">Настольная лампа Eglo Solo 1 87256</div>","<div class=""productItem__cost productItem__cost-new"">5 490 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_eglo_solo_1_87256/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Eglo Solo 1 87256</div>                </a>            </div>"
"<div class=""productItem__title"" itemprop=""name"">Настольная лампа Lumina Deco La Villanova LDT 302 MD+WT УЦ</div>","<div class=""productItem__cost productItem__cost-new"">6 120 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_lumina_deco_la_villanova_ldt_302_md_wt_uts/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Lumina Deco La Villanova LDT 302 MD+WT УЦ</div>                </a>            </div>"
"<div class=""productItem__title"" itemprop=""name"">Настольная лампа Omnilux Miglianico OML-75404-01</div>","<div class=""productItem__cost productItem__cost-new"">6 960 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_omnilux_miglianico_oml_75404_01/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Omnilux Miglianico OML-75404-01</div>                </a>            </div>"
"<div class=""productItem__title"" itemprop=""name"">Настольная лампа MW-Light Афродита 317032301</div>","<div class=""productItem__cost productItem__cost-new"">12 240 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_mw_light_afrodita_317032301/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа MW-Light Афродита 317032301</div>                </a>            </div>"
"<div class=""productItem__title"" itemprop=""name"">Настольная лампа Arte Lamp Junior A1330LT-1AB</div>","<div class=""productItem__cost productItem__cost-new"">3 990 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_arte_lamp_junior_a1330lt_1ab/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Arte Lamp Junior A1330LT-1AB</div>                </a>            </div>"
"<div class=""productItem__title"" itemprop=""name"">Настольная лампа MW-Light Афродита 317035101</div>","<div class=""productItem__cost productItem__cost-new"">13 710 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_mw-light_afrodita_317035101/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа MW-Light Афродита 317035101</div>                </a>            </div>"
"<div class=""productItem__title"" itemprop=""name"">Настольная лампа Maytoni Fad MOD070TL-L8B3K</div>","<div class=""productItem__cost productItem__cost-new"">13 690 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_maytoni_fad_mod070tl-l8b3k/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Maytoni Fad MOD070TL-L8B3K</div>                </a>            </div>"
"<div class=""productItem__title"" itemprop=""name"">Настольная лампа Citilux Идальго CL434811</div>","<div class=""productItem__cost productItem__cost-new"">5 199 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_citilux_idalgo_cl434811/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Citilux Идальго CL434811</div>                </a>            </div>"
"<div class=""productItem__title"" itemprop=""name"">Настольная лампа Citilux Адриана CL405813</div>","<div class=""productItem__cost productItem__cost-new"">4 599 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_citilux_adriana_cl405813/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Citilux Адриана CL405813</div>                </a>            </div>"
"<div class=""productItem__title"" itemprop=""name"">Настольная лампа Citilux Адриана CL405823</div>","<div class=""productItem__cost productItem__cost-new"">6 399 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_citilux_adriana_cl405823/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Citilux Адриана CL405823</div>                </a>            </div>"
